0,8,1.0
8,0,1.0
0,33,1.0
33,0,1.0
1,29,1.0
29,1,1.0
1,34,1.0
34,1,1.0
2,28,1.0
28,2,1.0
2,36,1.0
36,2,1.0
2,57,1.0
57,2,1.0
3,8,1.0
8,3,1.0
4,54,1.0
54,4,1.0
4,55,1.0
55,4,1.0
5,28,1.0
28,5,1.0
5,30,1.0
30,5,1.0
6,10,1.0
10,6,1.0
6,16,1.0
16,6,1.0
6,32,1.0
32,6,1.0
6,45,1.0
45,6,1.0
7,32,1.0
32,7,1.0
7,39,1.0
39,7,1.0
7,52,1.0
52,7,1.0
7,54,1.0
54,7,1.0
8,11,1.0
11,8,1.0
8,15,1.0
15,8,1.0
8,28,1.0
28,8,1.0
8,36,1.0
36,8,1.0
9,36,1.0
36,9,1.0
10,54,1.0
54,10,1.0
11,23,1.0
23,11,1.0
11,30,1.0
30,11,1.0
11,37,1.0
37,11,1.0
11,40,1.0
40,11,1.0
12,25,1.0
25,12,1.0
12,31,1.0
31,12,1.0
12,36,1.0
36,12,1.0
12,40,1.0
40,12,1.0
12,51,1.0
51,12,1.0
12,53,1.0
53,12,1.0
13,19,1.0
19,13,1.0
13,38,1.0
38,13,1.0
13,47,1.0
47,13,1.0
14,47,1.0
47,14,1.0
14,57,1.0
57,14,1.0
15,20,1.0
20,15,1.0
15,30,1.0
30,15,1.0
15,47,1.0
47,15,1.0
15,49,1.0
49,15,1.0
15,57,1.0
57,15,1.0
16,50,1.0
50,16,1.0
17,22,1.0
22,17,1.0
18,20,1.0
20,18,1.0
18,35,1.0
35,18,1.0
18,37,1.0
37,18,1.0
19,29,1.0
29,19,1.0
19,62,1.0
62,19,1.0
21,22,1.0
22,21,1.0
21,50,1.0
50,21,1.0
21,60,1.0
60,21,1.0
21,61,1.0
61,21,1.0
22,62,1.0
62,22,1.0
23,46,1.0
46,23,1.0
23,48,1.0
48,23,1.0
23,57,1.0
57,23,1.0
25,26,1.0
26,25,1.0
25,59,1.0
59,25,1.0
26,33,1.0
33,26,1.0
26,61,1.0
61,26,1.0
28,37,1.0
37,28,1.0
28,44,1.0
44,28,1.0
28,61,1.0
61,28,1.0
29,50,1.0
50,29,1.0
29,54,1.0
54,29,1.0
30,40,1.0
40,30,1.0
31,34,1.0
34,31,1.0
31,56,1.0
56,31,1.0
32,35,1.0
35,32,1.0
32,42,1.0
42,32,1.0
32,43,1.0
43,32,1.0
34,42,1.0
42,34,1.0
34,53,1.0
53,34,1.0
34,57,1.0
57,34,1.0
35,56,1.0
56,35,1.0
35,58,1.0
58,35,1.0
36,41,1.0
41,36,1.0
36,59,1.0
59,36,1.0
38,49,1.0
49,38,1.0
38,51,1.0
51,38,1.0
38,54,1.0
54,38,1.0
40,57,1.0
57,40,1.0
40,61,1.0
61,40,1.0
42,51,1.0
51,42,1.0
42,54,1.0
54,42,1.0
43,51,1.0
51,43,1.0
44,59,1.0
59,44,1.0
45,47,1.0
47,45,1.0
46,52,1.0
52,46,1.0
46,58,1.0
58,46,1.0
47,58,1.0
58,47,1.0
47,60,1.0
60,47,1.0
48,54,1.0
54,48,1.0
49,62,1.0
62,49,1.0
50,52,1.0
52,50,1.0
53,61,1.0
61,53,1.0
54,61,1.0
61,54,1.0
63,50,1.0
50,63,1.0
63,39,1.0
39,63,1.0
63,4,1.0
4,63,1.0
64,50,1.0
50,64,1.0
64,39,1.0
39,64,1.0
64,4,1.0
4,64,1.0
65,40,1.0
40,65,1.0
65,46,1.0
46,65,1.0
65,61,1.0
61,65,1.0
66,41,1.0
41,66,1.0
66,5,1.0
5,66,1.0
66,51,1.0
51,66,1.0
